nm,单体1,单体2,单体3
800,0.0856,0.1143,0.148
799,0.0856,0.1143,0.148
798,0.0856,0.1143,0.149
797,0.0856,0.1143,0.15
796,0.0856,0.1143,0.151
795,0.0856,0.1152,0.152
794,0.0856,0.1152,0.153
793,0.0864,0.1161,0.154
792,0.0864,0.1161,0.154
791,0.0872,0.1161,0.155
790,0.0872,0.1161,0.155
789,0.0872,0.1161,0.155
788,0.0872,0.1161,0.155
787,0.0872,0.1161,0.154
786,0.088,0.1161,0.154
785,0.088,0.1161,0.155
784,0.088,0.1161,0.155
783,0.0888,0.1161,0.155
782,0.0888,0.1161,0.155
781,0.088,0.1152,0.155
780,0.088,0.1152,0.155
779,0.0872,0.1143,0.156
778,0.0872,0.1143,0.156
777,0.0864,0.1134,0.157
776,0.0864,0.1134,0.157
775,0.0864,0.1134,0.158
774,0.0872,0.1134,0.159
773,0.0872,0.1134,0.16
772,0.0872,0.1134,0.16
771,0.088,0.1134,0.161
770,0.088,0.1125,0.161
769,0.088,0.1125,0.162
768,0.088,0.1134,0.162
767,0.088,0.1134,0.162
766,0.0888,0.1143,0.163
765,0.0888,0.1143,0.164
764,0.0888,0.1143,0.164
763,0.0888,0.1143,0.165
762,0.0888,0.1134,0.165
761,0.0888,0.1125,0.165
760,0.0888,0.1125,0.165
759,0.088,0.1116,0.165
758,0.088,0.1116,0.166
757,0.0888,0.1116,0.166
756,0.0888,0.1116,0.167
755,0.0888,0.1116,0.167
754,0.0888,0.1116,0.167
753,0.0888,0.1116,0.168
752,0.0888,0.1116,0.168
751,0.0888,0.1116,0.169
750,0.0896,0.1116,0.17
749,0.0896,0.1125,0.171
748,0.0896,0.1125,0.171
747,0.0896,0.1134,0.172
746,0.0904,0.1143,0.173
745,0.0904,0.1143,0.174
744,0.0904,0.1143,0.174
743,0.0904,0.1143,0.174
742,0.0912,0.1143,0.175
741,0.0912,0.1143,0.175
740,0.092,0.1152,0.176
739,0.092,0.1152,0.176
738,0.0928,0.1152,0.176
737,0.0928,0.1152,0.177
736,0.0928,0.1152,0.177
735,0.0928,0.1152,0.177
734,0.0928,0.1152,0.178
733,0.0928,0.1152,0.178
732,0.0928,0.1152,0.179
731,0.0928,0.1152,0.18
730,0.0928,0.1152,0.18
729,0.0928,0.1152,0.181
728,0.0928,0.1143,0.181
727,0.0928,0.1143,0.182
726,0.0928,0.1143,0.182
725,0.0936,0.1143,0.183
724,0.0936,0.1134,0.183
723,0.0936,0.1143,0.184
722,0.0944,0.1143,0.185
721,0.0944,0.1143,0.185
720,0.0952,0.1143,0.186
719,0.0952,0.1152,0.187
718,0.0952,0.1152,0.188
717,0.096,0.1161,0.188
716,0.096,0.1161,0.189
715,0.096,0.1161,0.189
714,0.096,0.117,0.19
713,0.096,0.117,0.19
712,0.096,0.117,0.191
711,0.096,0.117,0.191
710,0.0968,0.117,0.192
709,0.0968,0.117,0.192
708,0.0968,0.1161,0.193
707,0.0968,0.117,0.193
706,0.0976,0.1161,0.193
705,0.0976,0.1161,0.194
704,0.0976,0.1161,0.195
703,0.0984,0.1161,0.195
702,0.0992,0.117,0.196
701,0.0992,0.117,0.197
700,0.0992,0.117,0.197
699,0.1,0.117,0.198
698,0.1,0.117,0.199
697,0.1008,0.117,0.2
696,0.1008,0.1179,0.2
695,0.1008,0.1179,0.201
694,0.1008,0.1179,0.201
693,0.1008,0.1179,0.202
692,0.1008,0.1179,0.203
691,0.1008,0.1179,0.203
690,0.1016,0.1179,0.204
689,0.1016,0.1179,0.204
688,0.1016,0.1179,0.205
687,0.1016,0.1179,0.205
686,0.1024,0.1179,0.205
685,0.1024,0.1179,0.206
684,0.1024,0.1188,0.207
683,0.1032,0.1188,0.207
682,0.104,0.1188,0.208
681,0.104,0.1188,0.209
680,0.104,0.1197,0.21
679,0.1048,0.1197,0.21
678,0.1048,0.1197,0.21
677,0.1048,0.1197,0.211
676,0.1048,0.1197,0.212
675,0.1056,0.1197,0.213
674,0.1056,0.1197,0.213
673,0.1056,0.1197,0.214
672,0.1064,0.1197,0.215
671,0.1064,0.1197,0.216
670,0.1072,0.1197,0.217
669,0.108,0.1197,0.217
668,0.108,0.1206,0.218
667,0.1088,0.1206,0.219
666,0.1088,0.1206,0.22
665,0.1088,0.1206,0.221
664,0.1096,0.1215,0.221
663,0.1096,0.1215,0.222
662,0.1104,0.1215,0.223
661,0.1104,0.1215,0.223
660,0.1112,0.1215,0.224
659,0.1112,0.1215,0.225
658,0.1112,0.1215,0.225
657,0.112,0.1215,0.226
656,0.112,0.1215,0.226
655,0.112,0.1206,0.227
654,0.1128,0.1206,0.227
653,0.1128,0.1206,0.228
652,0.1136,0.1206,0.229
651,0.1136,0.1206,0.23
650,0.1144,0.1206,0.231
649,0.1144,0.1197,0.232
648,0.1144,0.1206,0.233
647,0.1152,0.1206,0.234
646,0.116,0.1206,0.235
645,0.116,0.1206,0.235
644,0.116,0.1215,0.236
643,0.1168,0.1215,0.237
642,0.1168,0.1215,0.238
641,0.1176,0.1224,0.238
640,0.1176,0.1224,0.239
639,0.1184,0.1233,0.24
638,0.1184,0.1233,0.241
637,0.1184,0.1233,0.242
636,0.1192,0.1233,0.243
635,0.1192,0.1233,0.244
634,0.12,0.1233,0.245
633,0.12,0.1233,0.246
632,0.1208,0.1233,0.247
631,0.1208,0.1233,0.248
630,0.1208,0.1233,0.249
629,0.1216,0.1233,0.25
628,0.1216,0.1233,0.251
627,0.1224,0.1233,0.252
626,0.1224,0.1233,0.252
625,0.1232,0.1242,0.253
624,0.1232,0.1242,0.254
623,0.124,0.1242,0.255
622,0.124,0.1242,0.257
621,0.1248,0.1251,0.258
620,0.1248,0.1251,0.259
619,0.1256,0.1251,0.26
618,0.1264,0.1251,0.261
617,0.1264,0.1251,0.262
616,0.1264,0.1251,0.263
615,0.1272,0.1251,0.264
614,0.1272,0.1251,0.265
613,0.128,0.1251,0.266
612,0.128,0.1251,0.266
611,0.1288,0.126,0.267
610,0.1288,0.126,0.269
609,0.1296,0.1269,0.27
608,0.1304,0.1269,0.271
607,0.1304,0.1278,0.273
606,0.1312,0.1278,0.274
605,0.1312,0.1287,0.275
604,0.132,0.1287,0.276
603,0.132,0.1287,0.277
602,0.132,0.1287,0.278
601,0.1328,0.1287,0.279
600,0.1328,0.1287,0.28
599,0.1328,0.1278,0.28
598,0.1328,0.1269,0.281
597,0.1328,0.1269,0.281
596,0.1336,0.1269,0.282
595,0.1336,0.126,0.282
594,0.1336,0.126,0.283
593,0.1344,0.126,0.284
592,0.1344,0.1269,0.285
591,0.1344,0.1269,0.286
590,0.1352,0.1278,0.287
589,0.1352,0.1278,0.288
588,0.136,0.1287,0.289
587,0.136,0.1287,0.291
586,0.1368,0.1296,0.292
585,0.1368,0.1296,0.293
584,0.1368,0.1296,0.294
583,0.1376,0.1296,0.295
582,0.1384,0.1296,0.296
581,0.1384,0.1305,0.297
580,0.1392,0.1305,0.298
579,0.14,0.1305,0.299
578,0.14,0.1305,0.3
577,0.1408,0.1314,0.301
576,0.1416,0.1323,0.302
575,0.1416,0.1323,0.303
574,0.1416,0.1323,0.304
573,0.1424,0.1332,0.305
572,0.1424,0.1341,0.307
571,0.1432,0.1341,0.308
570,0.1432,0.1341,0.309
569,0.144,0.135,0.31
568,0.144,0.135,0.311
567,0.144,0.1341,0.311
566,0.144,0.1341,0.312
565,0.1448,0.1341,0.313
564,0.1448,0.135,0.313
563,0.1448,0.135,0.314
562,0.1456,0.135,0.315
561,0.1464,0.1359,0.316
560,0.1464,0.1359,0.317
559,0.1464,0.1368,0.318
558,0.1472,0.1377,0.32
557,0.148,0.1377,0.321
556,0.148,0.1377,0.322
555,0.1488,0.1386,0.323
554,0.1488,0.1386,0.323
553,0.1488,0.1386,0.325
552,0.1488,0.1386,0.325
551,0.1496,0.1386,0.326
550,0.1496,0.1395,0.327
549,0.1504,0.1395,0.328
548,0.1504,0.1395,0.329
547,0.1504,0.1404,0.33
546,0.1512,0.1404,0.331
545,0.1512,0.1404,0.332
544,0.1512,0.1413,0.333
543,0.152,0.1413,0.335
542,0.152,0.1422,0.336
541,0.1528,0.1431,0.337
540,0.1536,0.1431,0.338
539,0.1536,0.144,0.339
538,0.1544,0.144,0.341
537,0.1552,0.1449,0.342
536,0.1552,0.1449,0.343
535,0.1552,0.1458,0.344
534,0.156,0.1458,0.345
533,0.156,0.1467,0.346
532,0.1568,0.1467,0.347
531,0.1576,0.1467,0.348
530,0.1576,0.1476,0.349
529,0.1584,0.1476,0.35
528,0.1584,0.1485,0.351
527,0.1592,0.1485,0.352
526,0.16,0.1494,0.353
525,0.16,0.1503,0.354
524,0.1608,0.1503,0.356
523,0.1616,0.1512,0.357
522,0.1616,0.1512,0.359
521,0.1624,0.1521,0.361
520,0.1632,0.153,0.362
519,0.164,0.1539,0.364
518,0.1648,0.1539,0.366
517,0.1656,0.1548,0.368
516,0.1656,0.1548,0.369
515,0.1664,0.1557,0.371
514,0.1672,0.1566,0.373
513,0.1672,0.1566,0.374
512,0.168,0.1575,0.376
511,0.168,0.1575,0.378
510,0.1688,0.1584,0.379
509,0.1696,0.1593,0.381
508,0.1704,0.1602,0.383
507,0.1712,0.1611,0.385
506,0.1712,0.162,0.388
505,0.172,0.1629,0.39
504,0.1736,0.1638,0.393
503,0.1744,0.1647,0.395
502,0.1752,0.1656,0.398
501,0.1768,0.1656,0.4
500,0.1776,0.1665,0.403
499,0.1784,0.1674,0.405
498,0.18,0.1683,0.407
497,0.1816,0.1692,0.409
496,0.1824,0.171,0.412
495,0.184,0.171,0.414
494,0.1848,0.1719,0.416
493,0.1864,0.1728,0.419
492,0.1872,0.1746,0.421
491,0.1888,0.1755,0.424
490,0.1904,0.1773,0.427
489,0.192,0.1782,0.43
488,0.1928,0.18,0.433
487,0.1944,0.1818,0.437
486,0.196,0.1827,0.441
485,0.1968,0.1845,0.444
484,0.1992,0.1863,0.447
483,0.2008,0.1872,0.451
482,0.2024,0.189,0.455
481,0.2048,0.1917,0.458
480,0.2072,0.1926,0.461
479,0.2088,0.1944,0.465
478,0.2112,0.1962,0.468
477,0.2136,0.198,0.471
476,0.2168,0.1998,0.475
475,0.2192,0.2025,0.478
474,0.2224,0.2043,0.481
473,0.2248,0.2061,0.484
472,0.2288,0.2088,0.487
471,0.232,0.2106,0.49
470,0.236,0.2133,0.493
469,0.24,0.216,0.498
468,0.2448,0.2196,0.502
467,0.2496,0.2223,0.506
466,0.2552,0.225,0.51
465,0.2608,0.2277,0.513
464,0.2664,0.2313,0.517
463,0.2728,0.234,0.522
462,0.28,0.2376,0.526
461,0.2872,0.2412,0.531
460,0.2952,0.2439,0.535
459,0.3032,0.2475,0.54
458,0.312,0.2511,0.545
457,0.3216,0.2547,0.55
456,0.332,0.2592,0.556
455,0.3432,0.2637,0.562
454,0.3544,0.2673,0.567
453,0.3664,0.2718,0.572
452,0.3792,0.2763,0.578
451,0.3928,0.2817,0.583
450,0.4072,0.2871,0.588
449,0.4232,0.2934,0.593
448,0.4408,0.2988,0.598
447,0.4584,0.3069,0.604
446,0.4768,0.3141,0.61
445,0.496,0.3213,0.616
444,0.5168,0.3294,0.622
443,0.5376,0.3384,0.628
442,0.5608,0.3483,0.634
441,0.5848,0.3582,0.64
440,0.6096,0.3681,0.647
439,0.636,0.3789,0.653
438,0.6624,0.3906,0.66
437,0.6904,0.4023,0.667
436,0.72,0.4149,0.674
435,0.7496,0.4293,0.681
434,0.7792,0.4437,0.687
433,0.808,0.459,0.695
432,0.8384,0.4743,0.702
431,0.8696,0.4923,0.708
430,0.9008,0.5103,0.715
429,0.9344,0.5301,0.722
428,0.9648,0.5508,0.73
427,0.996,0.5724,0.738
426,1.0248,0.594,0.746
425,1.056,0.6183,0.754
424,1.0832,0.6426,0.763
423,1.1096,0.6678,0.772
422,1.1344,0.6948,0.78
421,1.1584,0.7209,0.786
420,1.1824,0.7479,0.793
419,1.204,0.7767,0.802
418,1.2248,0.8046,0.809
417,1.2456,0.8343,0.817
416,1.2624,0.8622,0.824
415,1.2808,0.8937,0.831
414,1.2976,0.9234,0.838
413,1.316,0.9513,0.845
412,1.3296,0.9774,0.854
411,1.3416,1.0062,0.861
410,1.3504,1.0305,0.867
409,1.3592,1.0521,0.875
408,1.3704,1.0719,0.883
407,1.3736,1.0926,0.89
406,1.3808,1.1124,0.898
405,1.3832,1.1286,0.908
404,1.3904,1.1466,0.916
403,1.3896,1.1646,0.925
402,1.3904,1.1799,0.934
401,1.388,1.1907,0.943
400,1.3872,1.2033,0.952
399,1.3872,1.2141,0.961
398,1.3856,1.2222,0.969
397,1.3896,1.2339,0.979
396,1.3904,1.242,0.988
395,1.3976,1.2528,0.997
394,1.4016,1.2564,1.01
393,1.4088,1.2627,1.02
392,1.4016,1.269,1.036
391,1.404,1.2726,1.043
390,1.4048,1.2771,1.049
389,1.4024,1.2753,1.059
388,1.4016,1.2789,1.065
387,1.4088,1.2798,1.072
386,1.4112,1.2789,1.08
385,1.4112,1.2843,1.087
384,1.4,1.2834,1.092
383,1.3968,1.287,1.094
382,1.3928,1.2834,1.094
381,1.3968,1.2843,1.092
380,1.3912,1.2834,1.092
379,1.388,1.2771,1.093
378,1.3928,1.2825,1.092
377,1.404,1.2906,1.095
376,1.4136,1.2915,1.093
375,1.4168,1.2933,1.096
374,1.424,1.2951,1.1
373,1.42,1.3032,1.104
372,1.4144,1.314,1.11
371,1.4256,1.323,1.118
370,1.4224,1.3257,1.121
369,1.4232,1.3374,1.126
368,1.4152,1.3455,1.13
367,1.412,1.3428,1.131
366,1.4064,1.3446,1.141
365,1.3976,1.3365,1.142
364,1.3808,1.3374,1.148
363,1.3952,1.3257,1.142
362,1.3904,1.323,1.139
361,1.3944,1.3122,1.136
360,1.4024,1.3023,1.125
359,1.4232,1.2897,1.131
358,1.4288,1.2888,1.135
357,1.4344,1.296,1.139
356,1.4656,1.2834,1.136
355,1.5,1.3005,1.138
354,1.5624,1.305,1.154
353,1.5936,1.3104,1.165
352,1.556,1.3185,1.181
351,1.5352,1.3068,1.194
350,1.5528,1.3293,1.203
349,1.5232,1.3599,1.212
348,1.5192,1.3734,1.228
347,1.532,1.3923,1.235
346,1.4688,1.386,1.241
345,1.4664,1.3941,1.23
344,1.444,1.3959,1.219
343,1.4424,1.3608,1.229
342,1.4592,1.3338,1.238
341,1.4976,1.323,1.253
340,1.5456,1.3113,1.266
339,1.6248,1.2978,1.279
338,1.712,1.3041,1.308
337,1.8248,1.2996,1.33
336,1.9576,1.3167,1.351
335,2.2024,1.3266,1.375
334,2.1792,1.3473,1.406
333,2.1712,1.3707,1.407
332,2.0832,1.3842,1.42
331,1.9576,1.3995,1.437
330,1.8016,1.422,1.43
329,1.6976,1.4346,1.421
328,1.6584,1.4319,1.391
327,1.5944,1.4616,1.37
326,1.58,1.4373,1.364
325,1.5168,1.413,1.347
324,1.4632,1.3815,1.337
323,1.444,1.3329,1.323
322,1.4432,1.323,1.313
321,1.4312,1.3158,1.319
320,1.46,1.3077,1.333
319,1.4752,1.3041,1.335
318,1.4424,1.3005,1.34
317,1.4816,1.3131,1.332
316,1.4488,1.3185,1.319
315,1.4232,1.296,1.32
314,1.4128,1.2987,1.324
313,1.3936,1.2969,1.324
312,1.3872,1.3005,1.32
311,1.38,1.3005,1.315
310,1.3832,1.3113,1.306
309,1.392,1.3113,1.297
308,1.3784,1.3131,1.286
307,1.3792,1.3068,1.283
306,1.3632,1.3005,1.285
305,1.356,1.3023,1.269
304,1.3696,1.2942,1.267
303,1.3776,1.2762,1.26
302,1.392,1.2582,1.255
301,1.396,1.2465,1.259
300,1.4008,1.2294,1.263
299,1.3944,1.2258,1.26
298,1.3984,1.2132,1.253
297,1.3992,1.2024,1.25
296,1.3976,1.1907,1.244
295,1.3792,1.1844,1.241
294,1.3688,1.1916,1.238
293,1.356,1.1898,1.24
292,1.348,1.1934,1.23
291,1.3336,1.2015,1.224
290,1.324,1.2168,1.216
289,1.328,1.2276,1.221
288,1.32,1.2312,1.216
287,1.316,1.2294,1.203
286,1.3136,1.224,1.197
285,1.312,1.2186,1.196
284,1.3216,1.2132,1.196
283,1.3272,1.2015,1.188
282,1.3512,1.2033,1.173
281,1.3592,1.1916,1.17
280,1.3712,1.179,1.161
279,1.388,1.1718,1.155
278,1.3896,1.1592,1.15
277,1.3832,1.1583,1.139
276,1.392,1.1484,1.134
275,1.3896,1.1421,1.13
274,1.3744,1.1394,1.126
273,1.356,1.1394,1.128
272,1.3384,1.1394,1.131
271,1.3104,1.1385,1.13
270,1.2992,1.1349,1.127
269,1.2896,1.1331,1.129
268,1.2792,1.1322,1.125
267,1.2712,1.1331,1.125
266,1.2776,1.1313,1.126
265,1.2976,1.1187,1.125
264,1.3176,1.1187,1.123
263,1.3376,1.1178,1.121
262,1.3536,1.1088,1.114
261,1.3648,1.1052,1.126
260,1.3568,1.1079,1.132
259,1.3648,1.1034,1.127
258,1.3608,1.1097,1.128
257,1.3456,1.1043,1.131
256,1.332,1.107,1.135
255,1.3288,1.1151,1.142
254,1.3216,1.1313,1.146
253,1.2928,1.1313,1.141
252,1.2784,1.1322,1.15
251,1.2872,1.1286,1.169
250,1.2984,1.1205,1.178
249,1.2872,1.1187,1.201
248,1.2888,1.1025,1.21
247,1.3088,1.1133,1.215
246,1.3304,1.0989,1.224
245,1.3472,1.0935,1.224
244,1.3488,1.0845,1.215
243,1.348,1.062,1.203
242,1.384,1.0494,1.196
241,1.3928,1.0602,1.187
240,1.36,1.0413,1.166
239,1.3928,1.0305,1.151
238,1.4008,1.0296,1.138
237,1.4176,1.0341,1.129
236,1.3312,1.0467,1.111
235,1.3584,1.0368,1.093
234,1.3304,1.0368,1.059
233,1.3104,1.0395,1.067
232,1.324,1.0539,1.07
231,1.2864,1.062,1.067
230,1.276,1.0548,1.08
229,1.3264,1.0431,1.092
228,1.3344,1.0413,1.098
227,1.3104,1.0539,1.109
226,1.2992,1.071,1.107
225,1.296,1.0998,1.091
224,1.3464,1.1376,1.108
223,1.3,1.1196,1.146
222,1.372,1.1223,1.136
221,1.3952,1.1268,1.117
220,1.4992,1.1565,1.109
219,1.4608,1.1286,1.139
218,1.4848,1.0728,1.115
217,1.4184,1.035,1.137
216,1.308,0.9837,1.128
215,1.488,0.9774,1.112
214,1.3024,0.9828,1.117
213,1.2168,0.9918,1.109
212,1.1784,0.972,1.094
211,1.2032,0.9684,1.08
210,1.2168,0.9738,1.064
209,1.2272,0.9783,1.049
208,1.208,0.9882,1.022
207,1.2536,0.99,0.992
206,1.2368,1.0098,0.956
205,1.2344,1.0269,0.946
204,1.2232,1.0557,0.926
203,1.164,1.0737,0.909
202,1.1464,1.0638,0.904
201,1.1392,1.0611,0.899
200,1.0816,1.0431,0.892
